	SRR7685881_control_Rep2	SRR7685880_control_Rep1	SRR7685879_treated_Rep2	SRR7685878_treated_Rep1
0610005C13Rik	0	0	0	0
0610009E02Rik	0	0	0	0
0610009L18Rik	0	0	0	0
0610010K14Rik	0	0	0	0
0610030E20Rik	1	0	1	0
0610031O16Rik	0	0	0	0
0610038B21Rik	0	0	0	0
0610039K10Rik	0	0	0	0
0610040B10Rik	0	0	0	0
0610040F04Rik	0	0	0	0
0610040J01Rik	0	1	0	0
0610043K17Rik	0	0	0	0
1110002E22Rik	0	0	0	0
1110002L01Rik	0	0	0	0
1110004F10Rik	0	1	0	0
1110006O24Rik	0	0	0	0
1110015O18Rik	0	0	0	0
1110018N20Rik	0	0	0	0
1110019D14Rik	0	0	0	0
1110020A21Rik	0	0	0	0
1110028F18Rik	0	0	0	0
1110032F04Rik	0	0	0	0
1110038B12Rik	0	1	2	1
1110038F14Rik	0	0	0	0
1110046J04Rik	0	0	0	0
1110059E24Rik	1	0	0	0
1110059G10Rik	0	0	0	0
1110065P20Rik	0	0	0	0
1190005I06Rik	0	0	0	0
1190028D05Rik	0	0	0	0
1300002E11Rik	0	0	0	1
1500004A13Rik	0	0	0	0
1500009L16Rik	0	0	0	1
1500011B03Rik	0	0	0	0
1500012K07Rik	0	0	0	0
1500015A07Rik	0	0	0	0
1500015L24Rik	0	0	0	0
1500026H17Rik	0	0	0	1
1500035N22Rik	0	0	0	0
1600002D24Rik	0	0	0	0
1600010M07Rik	0	0	0	0
1600012H06Rik	0	0	0	0
1600012P17Rik	0	0	0	0
1600014C10Rik	0	0	0	0
1600014C23Rik	0	0	0	0
1600019K03Rik	0	0	0	0
1600020E01Rik	0	0	0	0
1600023N17Rik	0	0	0	0
1600025M17Rik	0	1	0	0
1600027J07Rik	0	0	0	0
1600029I14Rik	0	0	0	0
1600029O15Rik	0	0	0	0
1700001D01Rik	0	0	0	0
1700001F09Rik	0	0	0	0
1700001G01Rik	0	0	0	0
1700001G11Rik	0	0	0	0
1700001G17Rik	0	0	0	0
1700001J03Rik	0	0	0	0
1700001J04Rik	0	0	0	0
1700001K19Rik	0	0	0	0
1700001K23Rik	0	0	0	0
1700001O22Rik	0	0	0	0
1700003C15Rik	0	0	0	0
1700003D09Rik	0	0	0	0
1700003E16Rik	0	0	0	0
1700003E24Rik	0	0	0	0
1700003F12Rik	0	0	0	0
1700003G18Rik	0	0	0	0
1700003H04Rik	0	0	0	0
1700003I22Rik	0	0	0	0
1700003L19Rik	0	0	0	0
1700003M07Rik	0	0	0	0
1700003P14Rik	0	0	0	0
1700006A11Rik	0	0	0	0
1700006F04Rik	0	0	0	0
1700006H21Rik	0	0	0	0
1700006J14Rik	0	0	0	0
1700007F19Rik	0	0	0	0
1700007J10Rik	0	0	0	0
1700007L15Rik	0	0	0	0
1700007P06Rik	0	0	0	0
1700008C04Rik	0	0	0	0
1700008J07Rik	0	0	0	0
1700008K24Rik	0	0	0	0
1700008O03Rik	0	0	0	0
1700008P02Rik	0	0	0	0
1700009C05Rik	0	0	0	0
1700009J07Rik	0	0	0	0
1700009N14Rik	0	0	0	0
1700010B08Rik	0	0	0	0
1700010D01Rik	0	0	0	0
1700010I02Rik	0	0	0	0
1700010I14Rik	0	0	0	0
1700010J16Rik	0	0	0	0
1700010K23Rik	0	0	0	0
1700010N08Rik	0	0	0	0
1700011B04Rik	0	0	0	0
1700011C11Rik	0	0	0	0
1700011L22Rik	0	0	0	0
1700012A03Rik	0	0	0	0
1700012B07Rik	0	0	0	0
1700012B09Rik	0	0	0	0
1700012C14Rik	0	0	0	0
1700012D01Rik	0	1	1	1
1700012D16Rik	0	0	0	0
1700012I11Rik	0	0	0	0
1700012J15Rik	0	0	0	0
1700013D24Rik	0	0	0	0
1700013G24Rik	0	0	0	0
1700013H16Rik	0	0	0	0
1700016A09Rik	0	0	0	0
1700016B01Rik	0	0	0	0
1700016G22Rik	0	0	0	0
1700016H13Rik	0	0	0	0
1700016K05Rik	0	0	0	0
1700016L21Rik	0	0	0	0
1700016P04Rik	0	0	0	0
1700017B05Rik	0	3	3	3
1700017G19Rik	0	0	0	0
1700017J07Rik	0	0	0	0
1700017L05Rik	0	0	0	0
1700017M07Rik	0	0	0	0
1700017N19Rik	0	0	0	0
1700018A04Rik	0	0	0	0
1700018B08Rik	0	0	0	0
1700018B24Rik	0	0	0	0
1700018F24Rik	0	0	0	0
1700019A02Rik	0	0	0	0
1700019C18Rik	0	0	0	0
1700019D03Rik	0	0	0	0
1700019F05Rik	0	0	0	0
1700019G24Rik	0	0	0	0
1700019J19Rik	0	0	0	0
1700019P21Rik	0	0	0	0
1700020A23Rik	0	0	0	0
1700020D14Rik	0	0	0	0
1700020G17Rik	0	0	0	0
1700020L13Rik	0	0	0	0
1700020L24Rik	0	0	0	0
1700020M21Rik	0	0	0	0
1700020N01Rik	0	0	0	0
1700020N15Rik	0	0	0	0
1700020N18Rik	0	0	0	0
1700021F02Rik	0	0	0	0
1700021G15Rik	0	0	0	0
1700021N21Rik	0	0	0	0
1700022A21Rik	0	0	0	0
1700022A22Rik	0	0	0	0
1700022E09Rik	0	0	0	0
1700022H16Rik	0	0	0	0
1700022N22Rik	0	0	0	0
1700023C21Rik	0	0	0	0
1700023F02Rik	0	0	0	0
1700024B05Rik	0	0	0	0
1700024B18Rik	0	0	0	0
1700024G13Rik	0	0	0	0
1700024I08Rik	0	0	0	0
1700025B11Rik	0	0	0	0
1700025C18Rik	0	0	0	0
1700025D23Rik	0	0	0	0
1700025F24Rik	0	0	0	0
1700025G04Rik	1	0	1	1
1700025J12Rik	0	0	0	0
1700025K24Rik	0	0	0	0
1700025M24Rik	0	0	0	0
1700025N23Rik	0	0	0	0
1700025O08Rik	0	0	0	0
1700026D11Rik	0	0	0	0
1700026F02Rik	0	0	0	0
1700026J12Rik	0	0	0	0
1700026J14Rik	0	0	0	0
1700027F09Rik	0	0	0	0
1700027H10Rik	0	0	0	0
1700027I24Rik	0	0	0	0
