Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64
SRR7685878_treated_Rep1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.004239623521431297)	(21, 0.008479247042862594)	(22, 0.012718870564293891)	(23, 0.01695849408572519)	(24, 0.021198117607156484)	(25, 0.029677364650019078)	(26, 0.029677364650019078)	(27, 0.029677364650019078)	(28, 0.03815661169288167)	(29, 0.06783397634290075)	(30, 0.08903209395005723)	(31, 0.10175096451435113)	(32, 0.1356679526858015)	(33, 0.16110569381438927)	(34, 0.19078305846440835)	(35, 0.19502268198583966)	(36, 0.20774155255013355)	(37, 0.22893967015729003)	(38, 0.2670962818501717)	(39, 0.2967736465001908)	(40, 0.32645101115020986)	(41, 0.34340950523593505)	(42, 0.4027642345359732)	(43, 0.4366812227074236)	(44, 0.47907745792173656)	(45, 0.5257133166574808)	(46, 0.5553906813074999)	(47, 0.6401831517361258)	(48, 0.6825793869504388)	(49, 0.7376944927290456)	(50, 0.8097680925933777)	(51, 0.856403951329122)	(52, 0.9793530334506296)	(53, 1.0514266333149616)	(54, 1.1319794802221563)	(55, 1.2210115741722134)	(56, 1.297324797557977)	(57, 1.369398397422309)	(58, 1.483868232500954)	(59, 1.5517022088438546)	(60, 1.657692796879637)	(61, 1.7806418790011447)	(62, 1.899351337601221)	(63, 2.0392589138084536)	(64, 2.174926866494255)	(65, 2.2978759486157627)
SRR7685878_treated_Rep1 - polya	(1, 0.004239623521431297)	(2, 0.012718870564293891)	(3, 0.012718870564293891)	(4, 0.01695849408572519)	(5, 0.025437741128587783)	(6, 0.029677364650019078)	(7, 0.03391698817145038)	(8, 0.03815661169288167)	(9, 0.046635858735744266)	(10, 0.050875482257175565)	(11, 0.059354729300038156)	(12, 0.06359435282146945)	(13, 0.08479247042862594)	(14, 0.10175096451435113)	(15, 0.10175096451435113)	(16, 0.11023021155721371)	(17, 0.1314283291643702)	(18, 0.1399075762072328)	(19, 0.1483868232500954)	(20, 0.156866070292958)	(21, 0.16534531733582059)	(22, 0.17382456437868318)	(23, 0.18230381142154578)	(24, 0.19502268198583966)	(25, 0.20774155255013355)	(26, 0.21198117607156486)	(27, 0.21198117607156486)	(28, 0.21622079959299614)	(29, 0.22470004663585874)	(30, 0.23741891720015262)	(31, 0.24589816424301522)	(32, 0.2543774112858778)	(33, 0.2543774112858778)	(34, 0.2670962818501717)	(35, 0.27557552889303427)	(36, 0.2798151524144656)	(37, 0.2840547759358969)	(38, 0.29253402297875947)	(39, 0.3010132700216221)	(40, 0.3179717641073473)	(41, 0.3179717641073473)	(42, 0.3179717641073473)	(43, 0.32221138762877855)	(44, 0.33069063467164117)	(45, 0.33916988171450374)	(46, 0.33916988171450374)	(47, 0.34764912875736637)	(48, 0.34764912875736637)	(49, 0.3688472463645228)	(50, 0.37308686988595413)	(51, 0.3900453639716793)	(52, 0.39428498749311064)	(53, 0.4027642345359732)	(54, 0.4112434815788358)	(55, 0.4197227286216984)	(56, 0.4197227286216984)	(57, 0.44092084622885486)	(58, 0.45787934031458005)	(59, 0.46211896383601136)	(60, 0.47907745792173656)	(61, 0.48755670496459913)	(62, 0.49179632848603044)	(63, 0.500275575528893)	(64, 0.5045151990503244)	(65, 0.5087548225717556)
SRR7685879_treated - polya	(1, 0.004241421724562073)	(2, 0.008482843449124146)	(3, 0.008482843449124146)	(4, 0.021207108622810365)	(5, 0.021207108622810365)	(6, 0.029689952071934513)	(7, 0.05513848241930695)	(8, 0.0636213258684311)	(9, 0.08482843449124146)	(10, 0.10179412138948976)	(11, 0.1102769648386139)	(12, 0.1102769648386139)	(13, 0.12300123001230012)	(14, 0.13148407346142427)	(15, 0.14844976035967256)	(16, 0.16541544725792084)	(17, 0.18238113415616916)	(18, 0.18662255588073123)	(19, 0.19510539932985538)	(20, 0.2078296645035416)	(21, 0.21207108622810367)	(22, 0.21631250795266574)	(23, 0.2205539296772278)	(24, 0.22479535140178988)	(25, 0.22903677312635196)	(26, 0.24176103830003817)	(27, 0.24600246002460024)	(28, 0.25024388174916234)	(29, 0.25024388174916234)	(30, 0.26296814692284853)	(31, 0.2714509903719727)	(32, 0.2756924120965348)	(33, 0.29265809899478307)	(34, 0.2968995207193451)	(35, 0.30538236416846926)	(36, 0.3181066293421555)	(37, 0.32658947279127964)	(38, 0.34355515968952793)	(39, 0.3605208465877762)	(40, 0.3774865334860245)	(41, 0.39021079865971076)	(42, 0.40293506383339694)	(43, 0.40717648555795904)	(44, 0.40717648555795904)	(45, 0.4156593290070832)	(46, 0.42414217245620733)	(47, 0.4368664376298935)	(48, 0.4411078593544556)	(49, 0.4411078593544556)	(50, 0.44534928107901767)	(51, 0.4538321245281418)	(52, 0.46655638970182806)	(53, 0.46655638970182806)	(54, 0.46655638970182806)	(55, 0.4707978114263901)	(56, 0.4750392331509522)	(57, 0.4750392331509522)	(58, 0.4750392331509522)	(59, 0.47928065487551424)	(60, 0.48776349832463844)	(61, 0.4920049200492005)	(62, 0.5047291852228867)	(63, 0.5132120286720109)	(64, 0.517453450396573)	(65, 0.517453450396573)
SRR7685879_treated_R1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.008479247042862594)	(22, 0.021198117607156484)	(23, 0.021198117607156484)	(24, 0.025437741128587783)	(25, 0.03391698817145038)	(26, 0.03815661169288167)	(27, 0.05511510577860686)	(28, 0.06783397634290075)	(29, 0.08055284690719464)	(30, 0.08903209395005723)	(31, 0.11446983507864501)	(32, 0.1441471997286641)	(33, 0.1483868232500954)	(34, 0.17382456437868318)	(35, 0.18230381142154578)	(36, 0.19502268198583966)	(37, 0.20774155255013355)	(38, 0.22470004663585874)	(39, 0.24589816424301522)	(40, 0.271335905371603)	(41, 0.32221138762877855)	(42, 0.3518887522787976)	(43, 0.4070038580574045)	(44, 0.44516046975028617)	(45, 0.47907745792173656)	(46, 0.5214736931360495)	(47, 0.5681095518717938)	(48, 0.627464281171832)	(49, 0.6868190104718701)	(50, 0.7631322338576334)	(51, 0.8352058337219654)	(52, 0.8903209395005723)	(53, 0.9835926569720609)	(54, 1.085343621486412)	(55, 1.1828549624793319)	(56, 1.2591681858650952)	(57, 1.3609191503794462)	(58, 1.47114936193666)	(59, 1.5771399499724426)	(60, 1.712807902658244)	(61, 1.8442362318226142)	(62, 1.984143808029847)	(63, 2.1070928901513546)	(64, 2.2342815957942936)	(65, 2.3996269131301142)
SRR7685879_treated_R1 - polya	(1, 0.004239623521431297)	(2, 0.008479247042862594)	(3, 0.008479247042862594)	(4, 0.021198117607156484)	(5, 0.021198117607156484)	(6, 0.029677364650019078)	(7, 0.05511510577860686)	(8, 0.06359435282146945)	(9, 0.08479247042862594)	(10, 0.10175096451435113)	(11, 0.11023021155721371)	(12, 0.11023021155721371)	(13, 0.12294908212150761)	(14, 0.1314283291643702)	(15, 0.1483868232500954)	(16, 0.16534531733582059)	(17, 0.18230381142154578)	(18, 0.18654343494297707)	(19, 0.19502268198583966)	(20, 0.20774155255013355)	(21, 0.21198117607156486)	(22, 0.21622079959299614)	(23, 0.22046042311442743)	(24, 0.22470004663585874)	(25, 0.22893967015729003)	(26, 0.24165854072158394)	(27, 0.24589816424301522)	(28, 0.2501377877644465)	(29, 0.2501377877644465)	(30, 0.2628566583287404)	(31, 0.271335905371603)	(32, 0.27557552889303427)	(33, 0.29253402297875947)	(34, 0.2967736465001908)	(35, 0.30525289354305335)	(36, 0.3179717641073473)	(37, 0.32645101115020986)	(38, 0.34340950523593505)	(39, 0.36036799932166025)	(40, 0.37732649340738544)	(41, 0.3900453639716793)	(42, 0.4027642345359732)	(43, 0.4070038580574045)	(44, 0.4070038580574045)	(45, 0.4154831051002671)	(46, 0.4239623521431297)	(47, 0.4366812227074236)	(48, 0.44092084622885486)	(49, 0.44092084622885486)	(50, 0.44516046975028617)	(51, 0.4536397167931488)	(52, 0.4663585873574427)	(53, 0.4663585873574427)	(54, 0.4663585873574427)	(55, 0.47059821087887393)	(56, 0.47483783440030525)	(57, 0.47483783440030525)	(58, 0.47483783440030525)	(59, 0.47907745792173656)	(60, 0.48755670496459913)	(61, 0.49179632848603044)	(62, 0.5045151990503244)	(63, 0.5129944460931869)	(64, 0.5172340696146183)	(65, 0.5341925637003434)
SRR7685879_treated_Rep2 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.008479247042862594)	(22, 0.021198117607156484)	(23, 0.021198117607156484)	(24, 0.025437741128587783)	(25, 0.03391698817145038)	(26, 0.03815661169288167)	(27, 0.05511510577860686)	(28, 0.06783397634290075)	(29, 0.08055284690719464)	(30, 0.08903209395005723)	(31, 0.11446983507864501)	(32, 0.1441471997286641)	(33, 0.1483868232500954)	(34, 0.17382456437868318)	(35, 0.18230381142154578)	(36, 0.19502268198583966)	(37, 0.20774155255013355)	(38, 0.22470004663585874)	(39, 0.24589816424301522)	(40, 0.271335905371603)	(41, 0.32221138762877855)	(42, 0.3518887522787976)	(43, 0.4070038580574045)	(44, 0.44516046975028617)	(45, 0.47907745792173656)	(46, 0.5214736931360495)	(47, 0.5681095518717938)	(48, 0.627464281171832)	(49, 0.6868190104718701)	(50, 0.7631322338576334)	(51, 0.8352058337219654)	(52, 0.8903209395005723)	(53, 0.9835926569720609)	(54, 1.085343621486412)	(55, 1.1828549624793319)	(56, 1.2591681858650952)	(57, 1.3609191503794462)	(58, 1.47114936193666)	(59, 1.5771399499724426)	(60, 1.712807902658244)	(61, 1.8442362318226142)	(62, 1.984143808029847)	(63, 2.1070928901513546)	(64, 2.2342815957942936)	(65, 2.3996269131301142)
SRR7685879_treated_Rep2 - polya	(1, 0.004239623521431297)	(2, 0.008479247042862594)	(3, 0.008479247042862594)	(4, 0.021198117607156484)	(5, 0.021198117607156484)	(6, 0.029677364650019078)	(7, 0.05511510577860686)	(8, 0.06359435282146945)	(9, 0.08479247042862594)	(10, 0.10175096451435113)	(11, 0.11023021155721371)	(12, 0.11023021155721371)	(13, 0.12294908212150761)	(14, 0.1314283291643702)	(15, 0.1483868232500954)	(16, 0.16534531733582059)	(17, 0.18230381142154578)	(18, 0.18654343494297707)	(19, 0.19502268198583966)	(20, 0.20774155255013355)	(21, 0.21198117607156486)	(22, 0.21622079959299614)	(23, 0.22046042311442743)	(24, 0.22470004663585874)	(25, 0.22893967015729003)	(26, 0.24165854072158394)	(27, 0.24589816424301522)	(28, 0.2501377877644465)	(29, 0.2501377877644465)	(30, 0.2628566583287404)	(31, 0.271335905371603)	(32, 0.27557552889303427)	(33, 0.29253402297875947)	(34, 0.2967736465001908)	(35, 0.30525289354305335)	(36, 0.3179717641073473)	(37, 0.32645101115020986)	(38, 0.34340950523593505)	(39, 0.36036799932166025)	(40, 0.37732649340738544)	(41, 0.3900453639716793)	(42, 0.4027642345359732)	(43, 0.4070038580574045)	(44, 0.4070038580574045)	(45, 0.4154831051002671)	(46, 0.4239623521431297)	(47, 0.4366812227074236)	(48, 0.44092084622885486)	(49, 0.44092084622885486)	(50, 0.44516046975028617)	(51, 0.4536397167931488)	(52, 0.4663585873574427)	(53, 0.4663585873574427)	(54, 0.4663585873574427)	(55, 0.47059821087887393)	(56, 0.47483783440030525)	(57, 0.47483783440030525)	(58, 0.47483783440030525)	(59, 0.47907745792173656)	(60, 0.48755670496459913)	(61, 0.49179632848603044)	(62, 0.5045151990503244)	(63, 0.5129944460931869)	(64, 0.5172340696146183)	(65, 0.5341925637003434)
SRR7685880_control_Rep1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.004239623521431297)	(19, 0.004239623521431297)	(20, 0.004239623521431297)	(21, 0.004239623521431297)	(22, 0.008479247042862594)	(23, 0.025437741128587783)	(24, 0.029677364650019078)	(25, 0.03391698817145038)	(26, 0.03391698817145038)	(27, 0.03391698817145038)	(28, 0.04239623521431297)	(29, 0.046635858735744266)	(30, 0.05511510577860686)	(31, 0.059354729300038156)	(32, 0.08479247042862594)	(33, 0.10175096451435113)	(34, 0.11446983507864501)	(35, 0.1271887056429389)	(36, 0.1356679526858015)	(37, 0.15262644677152667)	(38, 0.16958494085725187)	(39, 0.18230381142154578)	(40, 0.20774155255013355)	(41, 0.23741891720015262)	(42, 0.2543774112858778)	(43, 0.2882943994573282)	(44, 0.313732140585916)	(45, 0.3518887522787976)	(46, 0.3815661169288167)	(47, 0.4239623521431297)	(48, 0.45787934031458005)	(49, 0.47907745792173656)	(50, 0.5384321872217747)	(51, 0.6147454106075381)	(52, 0.657141645821851)	(53, 0.7292152456861831)	(54, 0.8224869631576716)	(55, 0.8860813159791411)	(56, 0.970873786407767)	(57, 1.0387077627506678)	(58, 1.0811039979649808)	(59, 1.1701360919150379)	(60, 1.2294908212150761)	(61, 1.2930851740365457)	(62, 1.3948361385508967)	(63, 1.4923474795438165)	(64, 1.5771399499724426)	(65, 1.6788909144867936)
SRR7685880_control_Rep1 - polya	(1, 0.004239623521431297)	(2, 0.008479247042862594)	(3, 0.01695849408572519)	(4, 0.025437741128587783)	(5, 0.025437741128587783)	(6, 0.029677364650019078)	(7, 0.029677364650019078)	(8, 0.03391698817145038)	(9, 0.050875482257175565)	(10, 0.06783397634290075)	(11, 0.07631322338576334)	(12, 0.10175096451435113)	(13, 0.12294908212150761)	(14, 0.1271887056429389)	(15, 0.1483868232500954)	(16, 0.16958494085725187)	(17, 0.18654343494297707)	(18, 0.21198117607156486)	(19, 0.21622079959299614)	(20, 0.21622079959299614)	(21, 0.21622079959299614)	(22, 0.22470004663585874)	(23, 0.22893967015729003)	(24, 0.23317929367872134)	(25, 0.23741891720015262)	(26, 0.24589816424301522)	(27, 0.2501377877644465)	(28, 0.2543774112858778)	(29, 0.2628566583287404)	(30, 0.27557552889303427)	(31, 0.2798151524144656)	(32, 0.29253402297875947)	(33, 0.3010132700216221)	(34, 0.30525289354305335)	(35, 0.313732140585916)	(36, 0.3179717641073473)	(37, 0.3349302581930724)	(38, 0.35612837580022894)	(39, 0.37308686988595413)	(40, 0.39428498749311064)	(41, 0.4154831051002671)	(42, 0.4324415991859923)	(43, 0.4494000932717175)	(44, 0.4536397167931488)	(45, 0.47059821087887393)	(46, 0.47483783440030525)	(47, 0.4833170814431679)	(48, 0.48755670496459913)	(49, 0.48755670496459913)	(50, 0.500275575528893)	(51, 0.5045151990503244)	(52, 0.5087548225717556)	(53, 0.5214736931360495)	(54, 0.5299529401789121)	(55, 0.5341925637003434)	(56, 0.5384321872217747)	(57, 0.542671810743206)	(58, 0.5596303048289312)	(59, 0.5638699283503625)	(60, 0.572349175393225)	(61, 0.5850680459575189)	(62, 0.6147454106075381)	(63, 0.6317039046932632)	(64, 0.6359435282146946)	(65, 0.6613812693432823)
SRR7685881_control - polya	(1, 0.004241601628775025)	(2, 0.0169664065151001)	(3, 0.03817441465897523)	(4, 0.04665761791652528)	(5, 0.05089921954530031)	(6, 0.0678656260604004)	(7, 0.07634882931795046)	(8, 0.09331523583305056)	(9, 0.10179843909060061)	(10, 0.11452324397692569)	(11, 0.1187648456057007)	(12, 0.12724804886325075)	(13, 0.13997285374957583)	(14, 0.14845605700712589)	(15, 0.165422463522226)	(16, 0.16966406515100102)	(17, 0.1823888700373261)	(18, 0.1823888700373261)	(19, 0.19087207329487615)	(20, 0.19511367492365117)	(21, 0.20359687818120123)	(22, 0.20783847980997625)	(23, 0.21208008143875126)	(24, 0.22056328469630132)	(25, 0.24177129284017645)	(26, 0.2544960977265015)	(27, 0.2587376993552766)	(28, 0.2714625042416016)	(29, 0.27570410587037664)	(30, 0.27570410587037664)	(31, 0.27570410587037664)	(32, 0.2841873091279267)	(33, 0.29267051238547676)	(34, 0.29267051238547676)	(35, 0.3011537156430268)	(36, 0.3096369189005769)	(37, 0.3223617237869019)	(38, 0.34781133355955207)	(39, 0.3647777400746522)	(40, 0.37750254496097724)	(41, 0.3817441465897523)	(42, 0.39022734984730234)	(43, 0.39446895147607736)	(44, 0.39871055310485237)	(45, 0.40719375636240246)	(46, 0.40719375636240246)	(47, 0.4156769596199525)	(48, 0.4199185612487275)	(49, 0.4241601628775025)	(50, 0.4368849677638276)	(51, 0.44112656939260264)	(52, 0.44536817102137766)	(53, 0.44536817102137766)	(54, 0.45385137427892774)	(55, 0.45385137427892774)	(56, 0.4665761791652528)	(57, 0.4665761791652528)	(58, 0.4708177807940278)	(59, 0.4750593824228028)	(60, 0.4750593824228028)	(61, 0.4835425856803529)	(62, 0.500508992195453)	(63, 0.500508992195453)	(64, 0.508992195453003)	(65, 0.508992195453003)
