Sample	rsem-alignable_percent	star-total_reads	star-mapped	star-mapped_percent	star-uniquely_mapped	star-uniquely_mapped_percent	star-multimapped	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences	cutadapt-percent_trimmed	featurecounts-Assigned	featurecounts-percent_assigned
SRR7685878_treated_Rep1	100.0	0.023572	0.018654	79.14	0.018654	79.14	0.0	5.753169118582264	50.0	76.0	76	0.0	0.023587	1.9035909611226525		
SRR7685878_treated_Rep1.unique															0.010029	56.00915894113705
SRR7685879_treated	100.0	0.023576999999999997	0.019506	82.73	0.019506	82.73	0.0	4.987911948084999	50.0	74.93160707469144	76	10.0	0.023576999999999997	1.7216218568212194		
SRR7685879_treated.unique															0.000217	1.1592499599337571
SRR7685879_treated_R1								5.023953872896087	50.0	76.0	76	0.0	0.023587	1.7216218568212194		
SRR7685879_treated_Rep2	100.0	0.023576999999999997	0.019506	82.73	0.019506	82.73	0.0	5.023953872896087	50.0	76.0	76	0.0	0.023587	1.7216218568212194		
SRR7685879_treated_Rep2.unique															0.009982	53.32549815695283
SRR7685880_control_Rep1	100.0	0.023575	0.01884	79.92	0.01884	79.92	0.0	5.443676601517794	50.0	76.0	76	0.0	0.023587	1.6869238853695054		
SRR7685880_control_Rep1.unique															0.010232999999999999	56.5640373666464
SRR7685881_control	100.0	0.023576	0.019468	82.58	0.019468	82.58	0.0	5.034781133355963	50.0	74.99652188666441	76	10.0	0.023576	1.6379450767929702		
SRR7685881_control.unique															0.000173	0.9240959350462048
SRR7685881_control_R1								5.07482935515327	49.0	76.0	76	0.0	0.023587	1.6379450767929702		
SRR7685881_control_Rep2	100.0	0.023576	0.019468	82.58	0.019468	82.58	0.0	5.07482935515327	49.0	76.0	76	0.0	0.023587	1.6379450767929702		
SRR7685881_control_Rep2.unique															0.010034999999999999	53.602905827680146
